Timestamp,Employment,STEM_major,Units,On_Campus_hours
10/26/2023 18:36:27,No,No,4,3
10/26/2023 18:38:21,Yes,Yes,13,43
10/26/2023 18:55:07,No,No,12,5
10/26/2023 18:57:44,Yes,No,12,20
10/26/2023 19:00:19,Yes,No,17,30
10/26/2023 19:01:31,Yes,No,13,13
10/26/2023 19:04:45,Yes,Yes,11,4
10/26/2023 19:10:15,No,No,16,16
10/26/2023 21:55:40,No,No,4,100
10/27/2023 15:34:25,No,No,15,24
10/27/2023 15:38:19,Yes,Yes,12,6
10/27/2023 15:39:27,No,No,12,0
10/27/2023 15:47:37,Yes,No,0,0
10/27/2023 15:51:43,Yes,No,0,0
10/27/2023 18:46:58,No,No,2,9
10/27/2023 21:16:05,Yes,No,12,25
10/28/2023 1:46:52,Yes,No,15,24
10/28/2023 14:21:02,No,Yes,16,28
10/30/2023 11:11:51,Yes,Yes,15,50
10/30/2023 11:12:48,Yes,Yes,18,30
10/30/2023 11:13:15,Yes,Yes,14,40
10/30/2023 11:13:46,Yes,Yes,16,30
10/30/2023 11:15:45,Yes,Yes,17.5,34
10/30/2023 11:20:52,Yes,Yes,4,10
10/30/2023 11:26:40,Yes,No,16,14
10/30/2023 11:27:29,No,Yes,12,10
10/30/2023 11:27:32,Yes,Yes,12,5
10/30/2023 11:28:38,Yes,Yes,19,9
10/30/2023 11:29:25,Yes,Yes,17,40
10/30/2023 11:30:29,No,Yes,16,18
10/30/2023 11:33:34,Yes,Yes,11,15
10/30/2023 11:33:38,Yes,Yes,12,20
10/30/2023 11:34:56,Yes,Yes,6,14
10/30/2023 11:36:04,Yes,Yes,17,40
10/30/2023 11:37:57,Yes,No,15,4
10/30/2023 11:39:53,No,Yes,16,50
10/30/2023 11:41:38,Yes,Yes,15,45
10/30/2023 11:44:41,No,Yes,16,40
10/30/2023 11:46:39,Yes,No,16,40
10/30/2023 11:52:12,Yes,Yes,10,22
10/30/2023 11:55:27,Yes,No,16,16
10/30/2023 12:00:20,Yes,Yes,8,11
10/30/2023 12:02:21,Yes,Yes,10,17
10/30/2023 12:14:41,Yes,No,9,5
10/30/2023 12:31:21,No,No,14,20
10/30/2023 12:32:10,Yes,No,8,10
10/30/2023 12:41:58,No,Yes,15,3.5
10/30/2023 12:46:09,Yes,Yes,4,35
10/30/2023 13:08:07,Yes,No,12,2
10/30/2023 13:35:35,Yes,Yes,19,40
10/30/2023 13:49:56,Yes,No,19,9
10/30/2023 14:22:32,No,Yes,16,2
10/30/2023 14:22:56,Yes,Yes,15,22
10/30/2023 14:23:06,No,Yes,18,60
10/30/2023 14:23:38,Yes,Yes,19,40
10/30/2023 14:25:22,Yes,Yes,16,30
10/30/2023 14:26:15,No,No,9,12
10/30/2023 14:26:44,Yes,Yes,5,15.25
10/30/2023 14:37:17,No,No,12,15
10/30/2023 15:23:09,Yes,Yes,12,23
10/30/2023 15:33:40,Yes,No,14,11
10/30/2023 15:37:19,No,Yes,16,20
10/30/2023 16:09:23,Yes,No,5,40
10/30/2023 17:14:50,Yes,No,2,5
10/30/2023 17:16:37,No,Yes,16,24
10/30/2023 17:17:55,Yes,No,12,8
10/30/2023 17:23:58,Yes,No,16,45
10/30/2023 17:38:27,Yes,Yes,15,10
10/30/2023 17:41:00,No,Yes,18,14
10/30/2023 17:50:40,Yes,Yes,12,10
10/30/2023 17:54:20,Yes,No,13,12
10/30/2023 18:26:32,Yes,Yes,15,13
10/30/2023 18:51:18,Yes,No,14,13
